Unnamed: 0,ENSG00000215021,ENSG00000215845,ENSG00000227097,ENSG00000231389,ENSG00000233276,ENSG00000234741,ENSG00000234745,ENSG00000239998,ENSG00000241553,ENSG00000242574,ENSG00000245910,ENSG00000247596,ENSG00000254999,ENSG00000256514,ENSG00000256618,ENSG00000260592,ENSG00000265150,ENSG00000266422,ENSG00000269858
35,23.74,0.0,448.15,38.07,455.51,18.54,167.77,21.19,17.73,0.0,22.6,0.0,14.45,24.81,80.75,29.21,197.93,115.69,14.61
44,29.65,14.18,325.74,199.64,197.74,10.35,2614.66,134.99,191.73,46.44,19.41,46.7,47.19,14.65,50.63,17.8,881.63,250.12,55.07
69,0.0,0.0,233.05,21.55,235.47,0.0,192.82,14.1,19.28,0.0,0.0,0.0,0.0,13.08,52.2,0.0,746.45,395.0,0.0
7,153.8,200.45,3718.22,1240.79,147.17,204.68,3121.13,40.51,257.01,407.27,169.33,61.17,130.2,14.63,14.25,25.87,1915.19,1137.8,96.46
55,109.93,42.62,3998.88,263.63,350.46,114.06,1131.2,41.12,171.2,44.74,115.83,27.02,66.18,36.22,72.36,38.27,519.73,309.66,51.83
42,47.65,23.69,720.68,252.94,178.07,20.82,2824.39,78.2,190.31,44.4,31.26,55.01,43.19,26.52,24.71,29.28,1313.11,554.71,54.86
30,38.32,22.38,546.24,109.79,158.31,21.94,490.52,32.31,44.29,18.2,37.36,17.6,25.81,17.29,96.74,0.0,330.0,176.57,32.82
46,34.8,27.89,615.78,207.86,216.37,19.76,2132.57,104.39,186.16,50.7,30.67,39.95,46.02,20.2,41.06,24.52,837.71,337.97,61.63
71,0.0,0.0,195.46,0.0,216.79,17.86,45.05,0.0,0.0,0.0,0.0,0.0,0.0,13.55,88.12,17.88,1236.86,820.95,10.65
19,25.17,0.0,424.61,111.53,197.6,10.23,820.36,33.46,65.34,50.41,53.55,30.72,26.25,66.71,25.16,19.52,423.99,321.25,28.87
58,25.03,16.57,751.3,36.77,199.04,21.27,645.16,51.74,76.25,10.73,24.16,15.32,30.15,21.11,48.4,13.62,806.4,370.88,35.08
25,36.9,12.86,737.99,75.35,385.65,16.07,265.56,39.32,37.34,14.52,23.65,11.24,21.36,27.9,85.48,19.51,634.89,425.75,22.6
40,109.61,94.78,1986.05,415.9,533.66,64.71,3624.13,134.17,362.04,70.16,66.14,64.7,119.85,48.65,77.74,30.28,721.43,413.94,160.36
13,16.57,0.0,262.24,30.97,278.19,26.53,74.65,0.0,0.0,0.0,0.0,0.0,0.0,17.37,54.18,12.5,238.29,118.01,0.0
64,29.14,12.47,670.26,75.97,255.94,35.0,268.21,32.58,53.09,21.65,39.08,11.12,31.25,12.98,47.43,36.83,513.44,387.38,13.75
3,55.45,31.62,1443.92,432.99,204.46,55.12,5198.3,207.74,277.75,88.63,57.08,70.17,61.97,0.0,0.0,30.98,1291.81,879.69,92.26
17,41.01,13.18,1163.68,69.86,291.01,30.62,305.17,45.36,38.77,13.25,34.56,15.12,25.47,17.59,127.32,16.49,397.85,198.53,20.09
38,30.92,19.6,580.69,159.21,441.61,21.06,1937.26,79.19,156.23,30.63,16.22,36.6,39.81,23.89,27.07,26.94,564.27,330.53,48.28
8,44.12,32.25,1106.15,259.37,170.96,31.99,3709.82,168.71,251.6,53.73,39.24,56.67,51.2,0.0,0.0,25.41,3771.68,3063.19,81.73
57,101.92,65.63,2176.14,475.99,413.67,47.89,2258.63,191.17,289.29,91.82,93.21,60.45,116.37,52.62,124.63,0.0,766.74,373.94,93.85
6,52.71,32.47,1069.18,314.01,164.9,47.29,4228.85,203.36,289.22,90.85,45.43,55.15,57.01,14.13,0.0,22.95,1115.79,596.46,85.41
36,27.01,11.54,211.44,65.84,541.1,21.05,183.09,22.01,24.53,16.25,18.37,0.0,18.59,27.15,55.69,24.71,273.48,137.61,15.83
66,32.07,0.0,388.06,75.54,678.31,36.97,149.62,27.27,17.91,0.0,18.67,12.81,16.56,50.03,183.63,85.15,1186.89,550.33,11.35
53,41.51,21.44,911.33,150.52,309.85,31.64,945.21,81.45,154.91,35.92,41.85,27.16,64.42,15.06,54.35,13.25,471.21,264.37,43.41
70,14.47,0.0,423.88,27.26,246.36,0.0,160.01,13.62,19.15,0.0,23.84,0.0,0.0,0.0,63.12,11.03,752.91,300.4,10.24
15,0.0,0.0,89.16,0.0,200.79,14.29,78.18,10.05,0.0,0.0,0.0,0.0,0.0,13.39,93.07,12.17,406.83,267.13,0.0
27,77.93,29.7,997.55,160.27,359.27,38.53,463.61,48.18,58.52,32.54,55.95,25.94,42.24,30.25,160.07,14.05,486.75,296.08,32.62
41,24.17,15.15,593.48,105.92,310.17,27.68,620.7,39.87,82.63,22.45,15.61,13.98,31.63,20.0,24.81,21.73,766.1,523.59,32.4
26,58.45,24.12,785.23,1028.59,248.8,31.78,6998.12,167.27,266.42,154.32,40.12,73.16,61.02,31.37,30.22,12.76,1911.61,845.72,74.99
48,65.22,34.67,631.63,472.89,220.23,25.58,4139.25,155.33,264.73,84.71,51.6,69.34,67.05,20.38,36.87,17.76,389.81,201.72,81.8
24,45.14,34.4,1455.47,128.21,229.4,63.75,884.77,76.5,101.07,22.65,51.4,18.34,43.06,41.18,238.64,25.88,637.06,345.03,67.38
61,59.97,23.47,1058.1,176.2,289.14,55.28,422.48,25.77,59.16,30.53,66.87,21.2,43.62,33.88,73.66,23.36,2049.73,1409.44,24.17
65,21.47,0.0,463.82,35.53,270.1,14.74,195.16,25.87,39.59,0.0,17.55,10.49,18.2,14.53,32.43,10.86,292.03,184.18,16.73
11,29.08,12.09,479.55,65.44,250.36,21.55,541.86,32.2,40.13,10.88,23.94,12.63,25.57,23.22,107.29,24.27,160.06,96.19,19.55
32,21.27,27.23,713.7,98.64,301.98,11.05,233.11,36.36,31.49,0.0,19.64,13.34,25.12,36.39,73.32,34.67,1257.86,721.44,12.56
68,25.7,0.0,559.75,59.13,145.45,18.86,202.63,20.58,27.02,10.79,27.86,10.5,13.19,15.51,67.33,11.87,1639.7,769.23,10.09
63,18.92,22.66,430.38,77.0,241.96,11.51,367.6,28.72,59.26,13.94,23.34,10.29,28.99,16.57,115.57,16.07,1923.97,1290.55,25.43
37,51.44,23.61,509.01,402.62,175.72,20.68,7596.09,225.88,312.59,98.31,32.32,74.5,62.82,30.83,83.65,24.29,471.02,220.93,69.5
29,89.02,45.59,2381.78,118.26,388.55,30.81,1322.62,77.79,104.56,28.62,67.68,39.4,74.28,43.07,98.94,16.49,205.95,87.4,70.05
43,50.6,21.38,475.46,404.25,314.83,21.61,2783.6,108.56,206.93,74.32,37.94,53.72,58.45,25.7,37.48,22.34,826.56,442.3,55.76
67,36.99,11.69,614.39,61.34,197.44,47.58,499.52,26.42,48.14,13.76,18.89,16.31,13.29,0.0,82.85,0.0,2021.96,978.68,29.49
1,57.35,29.25,1495.01,472.26,157.86,37.98,4105.04,126.88,257.45,78.99,54.07,60.57,55.08,0.0,0.0,42.52,1284.86,830.37,58.09
52,60.44,31.43,1182.63,195.15,320.16,35.37,2634.51,142.81,358.62,50.62,47.97,78.6,100.38,27.37,43.09,0.0,1067.23,509.03,101.76
21,45.33,21.8,444.86,252.25,208.81,63.36,3025.42,91.57,143.29,74.06,32.51,44.77,44.15,25.02,65.08,18.32,1183.64,615.18,54.83
2,42.24,24.97,963.17,243.71,185.65,39.36,3278.14,123.1,224.92,59.39,47.25,45.25,46.69,0.0,11.67,44.04,1168.3,643.6,65.2
23,13.55,0.0,203.58,29.53,452.18,13.17,266.17,26.95,31.33,0.0,13.58,0.0,23.04,35.92,146.56,31.25,412.66,231.98,12.2
20,81.8,53.32,2538.1,200.08,319.11,33.58,637.25,60.12,67.6,29.76,120.86,24.87,43.73,38.19,172.67,0.0,351.58,276.89,36.25
60,18.09,12.33,768.57,61.69,140.08,16.24,510.2,44.16,63.46,12.62,28.67,11.81,21.87,0.0,97.98,0.0,968.96,632.15,27.68
14,21.92,0.0,677.38,30.86,297.25,53.4,260.2,33.76,17.35,0.0,19.66,21.36,17.47,18.71,91.91,0.0,712.7,212.08,13.0
51,50.28,26.94,607.41,277.84,320.01,28.19,2742.66,140.66,241.38,58.01,42.6,64.73,67.82,23.89,55.71,21.59,509.04,231.64,65.34
4,35.21,16.44,821.22,465.55,249.68,15.63,4183.68,150.77,225.01,79.94,24.78,56.7,46.61,0.0,0.0,26.53,729.38,558.3,59.46
62,41.39,20.17,901.59,106.69,192.3,24.12,367.24,42.31,59.47,25.09,43.69,11.98,42.6,22.79,109.57,0.0,1489.92,1051.74,28.13
18,41.76,11.45,1160.79,80.77,325.67,0.0,369.65,46.91,45.63,21.2,45.53,15.37,31.65,26.28,209.66,0.0,457.24,210.69,31.5
0,43.19,22.7,1026.46,294.73,171.14,59.61,3312.61,134.64,215.66,60.08,46.78,45.88,49.47,0.0,11.14,35.33,1097.89,808.72,62.17
28,33.01,13.56,649.59,65.62,401.0,13.34,294.79,52.21,45.03,12.57,31.37,17.91,23.07,20.11,63.8,14.29,147.0,61.1,29.11
50,75.61,30.86,1688.26,393.37,402.12,68.17,1932.44,81.5,205.16,69.3,66.07,54.19,66.02,22.5,18.36,17.95,1667.6,900.54,58.71
10,52.27,26.91,1372.12,487.14,235.79,29.63,4019.67,141.16,243.53,93.26,43.55,50.74,60.8,0.0,0.0,36.96,1630.62,1091.29,65.97
34,92.82,43.48,2588.3,221.21,287.33,36.09,746.76,58.3,40.77,22.7,72.78,18.59,38.37,55.4,81.84,10.57,356.46,429.53,33.29
12,64.32,25.2,1100.45,393.96,347.37,31.88,7830.54,273.21,429.53,106.55,46.34,112.89,76.05,22.5,90.4,16.29,3435.88,1375.26,109.49
54,17.96,16.67,314.06,21.06,199.1,13.66,517.37,59.09,82.87,0.0,20.41,13.57,35.13,11.16,146.7,12.18,520.11,330.74,34.61
47,21.29,11.24,488.48,91.51,189.41,13.82,918.35,34.65,71.32,20.28,16.59,16.75,26.01,12.41,34.22,19.68,402.25,248.82,24.94
31,22.49,29.94,1145.27,76.01,299.16,0.0,510.72,42.99,40.3,0.0,27.26,14.56,35.61,0.0,85.59,58.66,835.82,217.42,23.72
9,67.91,31.27,2003.12,447.54,167.25,52.43,3859.71,146.02,283.03,113.9,71.31,55.24,70.12,13.12,0.0,26.87,3474.44,2170.52,78.86
45,17.97,10.15,250.25,79.54,306.07,0.0,1038.64,44.95,95.58,22.12,15.84,20.16,28.62,17.19,35.72,28.06,439.21,215.68,24.98
5,39.29,23.07,998.33,246.55,152.25,47.26,2616.44,122.65,211.62,53.49,45.25,40.02,45.43,10.74,0.0,37.88,3927.28,2225.23,61.8
22,27.0,22.95,673.01,104.79,193.69,33.44,169.38,24.59,20.31,18.84,24.76,10.26,17.31,0.0,56.98,31.43,400.11,400.6,16.94
56,37.64,20.13,935.6,196.4,340.09,22.92,857.87,66.83,121.67,36.33,41.71,26.03,38.51,19.86,67.78,26.95,294.68,184.18,34.74
49,41.44,16.54,787.28,336.3,355.59,19.68,3081.3,86.17,186.03,52.49,30.01,41.73,43.71,22.53,20.89,22.74,602.48,259.49,45.72
33,38.36,16.86,941.69,111.14,257.76,18.65,383.28,51.81,48.96,17.05,24.74,17.37,26.49,20.19,132.7,0.0,474.76,307.98,21.87
39,111.17,43.29,2819.76,740.04,343.8,65.57,3387.06,134.91,339.03,127.1,81.11,71.48,124.18,34.45,45.92,15.72,597.0,243.16,90.27
59,24.08,10.11,976.97,41.59,167.25,36.94,202.33,12.89,26.12,14.54,50.64,0.0,21.83,12.18,24.37,17.59,491.3,319.79,0.0
16,0.0,0.0,55.99,10.1,273.82,0.0,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.06,0.0,437.21,238.26,0.0
